"tingkat","jenjang","mapel_id","ki_id","kode_kd","teks_kd","sekolah_id"
"4","sd","pabp","2","2.20","Menunjukkan  sikap  santun  dan  menghargai  teman, baik di rumah, sekolah, dan di masyarakat sekitar sebagai implementasi pemahaman kisah keteladanan Nabi Muhammad saw.",
"4","sd","pabp","3","3.6","Memahami sikap santun dan menghargai teman, baik di rumah, sekolah, maupun di masyarakat sekitar.",
"4","sd","pabp","3","3.9","Memahami  makna  perilaku  jujur  dalam  kehidupan sehari-hari.",
"4","sd","pabp","3","3.10","Memahami makna perilaku amanah dalam kehidupan sehari-hari.",
"4","sd","pabp","3","3.11","Memahami makna perilaku hormat dan patuh kepada orang tua dan guru.",
"4","sd","pabp","3","3.20","Memahami kisah keteladanan Nabi Muhammad saw.",
"4","sd","pabp","4","4.6","Mencontohkan sikap santun dan menghargai teman, baik di rumah, sekolah, maupun di masyarakat sekitar.",
"4","sd","pabp","4","4.9","Mencontohkan perilaku jujur dalam kehidupan sehari- hari.",
"4","sd","pabp","4","4.10","Mencontohkan  perilaku  amanah  dalam  kehidupan sehari-hari.",
"4","sd","pabp","4","4.11","Mencontohkan  perilaku  hormat  dan  patuh  kepada orang tua dan guru.",
"4","sd","pabp","4","4.20","Menceritakan  kisah  keteladanan  Nabi  Muhammad saw.",
"4","sd","pabp","1","1.14","Menerapkan  ketentuan  syariat  Islam  dalam  bersuci dari hadas kecil.",
"4","sd","pabp","2","2.14","Menunjukkan  perilaku  bersih  sebagai  implementasi pemahaman tata cara bersuci dari hadas kecil.",
"4","sd","pabp","3","3.14","Memahami tata cara bersuci dari hadas kecil sesuai ketentuan syariat Islam.",
"4","sd","pabp","4","4.14","Mempraktikkan  tata  cara  bersuci  dari  hadas  kecil sesuai ketentuan syariat Islam.",
"4","sd","pabp","1","1.16","Meyakini kebenaran kisah Nabi Ayyub a.s.",
"4","sd","pabp","1","1.17","Meyakini kebenaran kisah Nabi Zulkiﬂi a.s.",
"4","sd","pabp","1","1.18","Meyakini kebenaran kisah Nabi Harun a.s.",
"4","sd","pabp","1","1.19","Meyakini kebenaran kisah Nabi Musa a.s.",
"4","sd","pabp","2","2.16","Menunjukkan   sikap   sabar   sebagai   implementasi pemahaman kisah keteladanan Nabi Ayyub a.s.",
"4","sd","pabp","2","2.17","Menunjukkan sikap rendah hati sebagai implementasi pemahaman kisah keteladanan Nabi Zulkiﬂi a.s.",
"4","sd","pabp","2","2.18","Menunjukkan perilaku kasih sayang sebagai implementasi pemahaman kisah keteladanan Nabi Harun a.s.",
"4","sd","pabp","2","2.19","Menunjukkan    sikap    berani   dan    sikap   pantang menyerah sebagai implementasi pemahaman kisah keteladanan Nabi Musa a.s.",
"4","sd","pabp","3","3.16","Memahami kisah keteladanan Nabi Ayyub a.s.",
"4","sd","pabp","3","3.17","Memahami kisah keteladanan Nabi Zulkiﬂi a.s.",
"4","sd","pabp","3","3.18","Memahami kisah keteladanan Nabi Harun a.s.",
"4","sd","pabp","3","3.19","Memahami kisah keteladanan Nabi Musa a.s.",
"4","sd","pabp","4","4.16","Menceritakan kisah keteladanan Nabi Ayyub a.s.",
"4","sd","pabp","4","4.17","Menceritakan kisah keteladanan Nabi Zulkiﬂi a.s.",
"4","sd","pabp","4","4.18","Menceritakan kisah keteladanan Nabi Harun a.s.",
"4","sd","pabp","4","4.19","Menceritakan kisah keteladanan Nabi Musa a.s.",
"4","sd","pabp","1","1.1","Terbiasa membaca Al-Qur'an dengan tartil.",
"4","sd","pabp","2","2.1","Menunjukkan sikap kerja sama dan peduli sebagai implementasi pemahaman makna Q.S. Al-Falaq dan Q.S. Al-Fil.",
"4","sd","pabp","3","3.1","Memahami Q.S. Al-Falaq dan Q.S. Al-Fil dengan baik dan benar.",
"4","sd","pabp","4","4.1.1","Membaca Q.S. Al-Falaq dan Q.S. Al-Fil dengan tartil.",
"4","sd","pabp","4","4.1.2","Menulis kalimat-kalimat dalam Q.S. Al-Falaq dan Q.S. Al Fil dengan benar",
"4","sd","pabp","4","4.1.3","Menunjukkan  hafalan Q.S. Al-Falaq dan Q.S. Al-Fil dengan lancar.",
"4","sd","pabp","1","1.4","Meyakini keberadaan malaikat-malaikat Allah SWT",
"4","sd","pabp","2","2.4","Menunjukkan sikap patuh sebagai implementasi dari pemahaman makna iman kepada malaikat-malaikat Allah",
"4","sd","pabp","3","3.4","Memahami makna iman kepada malaikat-malaikat Allah berdasarkan pengamatan terhadap dirinya dan alam sekitar",
"4","sd","pabp","4","4.4","Melakuakn pengamatan diri dan alam sekitar sebagai implementasi makna iman kepada malaikat-malaikat Allah",
"4","sd","pabp","1","1.7","Meyakini bahwa sikap rendah hati sebagai cerminan dari iman",
"4","sd","pabp","1","1.8","Meyakini bahwa perilaku hemat sebagai cerminan dari iman",
"4","sd","pabp","1","1.12","Meyakini bahwa perilaku gemar membaca  sebagai cerminan dari iman",
"4","sd","pabp","1","1.13","Meyakini bahwa sikap pantang menyerah sebagai cerminan dari iman",
"4","sd","pabp","2","2.7","Menunjukkan sikap rendah hati",
"4","sd","pabp","2","2.8","Menunjukkan sikap hemat",
"4","sd","pabp","2","2.12","Menunjukkan sikap gemar membaca",
"4","sd","pabp","2","2.13","Menunjukkan sikap pantang menyerah",
"4","sd","pabp","3","3.7","Memahami sikap rendah hati",
"4","sd","pabp","3","3.8","Memahami sikap hemat",
"4","sd","pabp","3","3.12","Memahami sikap gemar membaca",
"4","sd","pabp","3","3.13","Memahami sikap pantang menyerah",
"4","sd","pabp","4","4.7","Mencontohkan sikap rendah hati",
"4","sd","pabp","4","4.8","Mencontohkan sikap hemat",
"4","sd","pabp","4","4.12","Mencontohkan sikap gemar membaca",
"4","sd","pabp","4","4.13","Mencontohkan sikap pantang menyerah",
"4","sd","pabp","1","1.15","Menjalankan salat dengan tertib",
"4","sd","pabp","2","2.15","Menunjukkan sikap disiplin sebagai implementasi dari pemahaman makna ibadah salat",
"4","sd","pabp","3","3.15","memahami makna ibadah salat",
"4","sd","pabp","4","4.15.1","Menunjukkan contoh makna ibadah salat",
"4","sd","pabp","4","4.15.2","menceritakan pengalaman melaksanakan salat di rumah dan masjid lingkungan sekitar rumah",
"4","sd","pabp","1","1.21","Meyakini keimanan Wali Songo kepada Allah SWT",
"4","sd","pabp","2","2.21","Menunjukkan perlaku peduli dan rendah hati sebagai implementasi dari pemahaman kisah keteladanan Wali Songo",
"4","sd","pabp","3","3.21","Memahami kisah keteladanan Wali Songo",
"4","sd","pabp","4","4.21","Menceritakan kisah keteladanan Wali Songo",
